gene,shap_importance,nonzero_rate_bootstrap,selection_rate_bootstrap
BNIP3,0.1417165869711668,1.0,1.0
LAMA2,0.0985273620995992,1.0,1.0
IRF8,0.0924398535446095,0.855,0.855
ABCA3,0.0903724044614923,0.995,0.995
PLAGL1,0.0883960131433485,0.99,0.99
ZDHHC2,0.0883499608370425,1.0,1.0
EDAR,0.0882046031011723,0.65,0.65
KRT17,0.0872568621335208,1.0,1.0
STOX1,0.086372287413335,0.88,0.88
MOCOS,0.0855037305810627,0.905,0.905
LOC102724828,0.0853920779281932,1.0,1.0
ZSCAN18,0.0844946073847676,1.0,1.0
PHGDH,0.0835626328324596,1.0,1.0
LGALS2,0.0831804779030242,0.835,0.835
CAPN12,0.0831322605815598,1.0,1.0
SPATC1L,0.0826114558430072,0.785,0.785
TM4SF5,0.0825864540881156,0.84,0.84
UCP2,0.0817559849780388,0.66,0.66
EMB,0.0817189354623902,0.95,0.95
GJB4,0.0808189268487961,0.885,0.885
CELSR3,0.0792521478156717,1.0,1.0
PAX8,0.0761938422354438,0.66,0.66
ZNF185,0.0759763172143051,0.835,0.835
EPHB3,0.0747433749235514,1.0,1.0
INHBB,0.0745756004257503,0.92,0.92
CYP3A5,0.0743258266468481,1.0,1.0
PKDCC,0.0734317177010863,0.94,0.94
MAFIP,0.0714099435848724,0.93,0.93
DBNDD1,0.0697620575359691,0.64,0.64
PTPRN2,0.0697431595063072,0.995,0.995
