pathway,k_in_foreground,K_pathway_size,fold_enrichment,pval,rank,fdr_raw,fdr
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,72,165,7.775371442961471,1.7128377017347801e-46,1,8.5641885086739e-45,8.5641885086739e-45
HALLMARK_COAGULATION,35,96,6.4963498384118195,5.42970930015259e-20,2,1.3574273250381476e-18,1.3574273250381476e-18
HALLMARK_KRAS_SIGNALING_UP,39,153,4.5419857693770025,5.358656246503369e-16,3,8.931093744172282e-15,8.931093744172282e-15
HALLMARK_COMPLEMENT,32,156,3.6550891398536827,1.1875581526231542e-10,4,1.4844476907789428e-09,1.4844476907789428e-09
HALLMARK_INTERFERON_GAMMA_RESPONSE,34,179,3.384530865534905,2.779695087173166e-10,5,2.7796950871731658e-09,2.7796950871731658e-09
HALLMARK_INFLAMMATORY_RESPONSE,27,140,3.436436485951721,1.3741006621496326e-08,6,1.1450838851246939e-07,1.1450838851246939e-07
HALLMARK_MYOGENESIS,23,124,3.3050554016620497,3.3910645256202554e-07,7,2.422188946871611e-06,2.422188946871611e-06
HALLMARK_ANGIOGENESIS,10,28,6.363771270280965,1.517554952497589e-06,8,9.484718453109931e-06,9.484718453109931e-06
HALLMARK_UV_RESPONSE_DN,21,127,2.946375989704888,7.37378727119419e-06,9,4.096548483996772e-05,4.096548483996772e-05
HALLMARK_INTERFERON_ALPHA_RESPONSE,17,95,3.1885843417407784,1.872577511046357e-05,10,9.362887555231785e-05,9.362887555231785e-05
HALLMARK_APICAL_JUNCTION,22,147,2.6667231989748807,2.3082574477761714e-05,11,0.00010492079308073507,0.00010492079308073507
HALLMARK_ESTROGEN_RESPONSE_LATE,23,161,2.5455085081123863,3.249904523748068e-05,12,0.00013541268848950283,0.00013541268848950283
HALLMARK_ALLOGRAFT_REJECTION,21,145,2.5806189702932465,5.77400615493474e-05,13,0.0002220771598051823,0.0002220771598051823
HALLMARK_TNFA_SIGNALING_VIA_NFKB,24,179,2.389080610965815,6.285513805837085e-05,14,0.00022448263592275306,0.00022448263592275306
